hx,hz,chi,D,ξv,ξh,ξ_vumps
0.1,0.2,48,4,7.1114145765472125,7.111414580082695,7.111414375089591
0.1,0.31,16,4,1.3228172469113906,1.3228172469113026,1.3228172468540143
0.1,0.32,16,4,1.501634188762584,1.501634188762402,1.5016341887615958
0.1,0.32,36,4,1.5386375902440377,1.5386375902790461,1.538637595438356
0.1,0.33,16,4,1.341409734701392,1.3414097347027842,1.3414110108317
0.1,0.33,36,4,1.8067633866586252,1.8067633867948083,1.8067631890900222
0.1,0.34,16,4,1.0896174556572844,1.089617455656856,1.0896174556518012
0.1,0.34,36,4,1.1003677163408725,1.1003677162187218,1.1003676981179167
0.1,0.35,16,4,0.9522409737528581,0.9522409737526497,0.9522409738113347
0.1,0.36,16,4,0.8493900555898186,0.8493900555898953,0.8493900557778455
0.1,0.37,16,4,0.7742221960037732,0.7742221960035353,0.7742221989987611
0.1,0.38,16,4,0.7333699189296554,0.7333699189296463,0.7333699164959055
0.1,0.39,16,4,0.676783253075577,0.6767832530756464,0.6767831935142345
0.1,0.3,16,4,1.2116176061560342,1.211617606156618,1.2116175960247773
0.1,0.3,36,4,0.5683420103497719,0.5654625803113223,0.5654625801772205
0.1,0.41,16,4,0.5998484650834375,0.5998484650834857,0.5998484541770186
0.1,0.42,16,4,0.5811199900338457,0.5811199900336804,0.5811199833154245
0.1,0.43,16,4,0.5642082798992615,0.564208279899325,0.5642082925364692
0.1,0.44,16,4,0.5488472798043932,0.5488472798047077,0.548847264006639
0.1,0.45,16,4,0.516218528717497,0.5162185287170984,0.5162185286028566
0.1,0.4,16,4,0.6475805514384629,0.6475805514142456,0.6475779204207236
0.1,1.0,36,4,2.2517998136852475e15,6.433713753386418e14,0.2670328300971656
0.255,0.2,16,4,0.6297979164995097,0.6297979164995038,0.6297979165096504
0.255,0.2,24,4,0.6431625906440198,0.6431625906350662,0.6431625908104097
0.25,0.0,16,4,0.4817071561512048,0.4817071561512327,0.4816289081993954
0.25,0.0,24,4,0.4622634400347968,0.4622634400343655,0.46226344030493277
0.25,0.0,36,4,0.4784693587808166,0.47846935878087243,0.47846935821533454
0.25,0.1,16,4,0.4148524925228764,0.4148524925228657,0.4148524924047865
0.25,0.1,16,6,0.6453169819906674,0.6453169819906835,0.6453169819580052
0.25,0.1,48,4,4.503599627370496e15,9.007199254740992e15,0.39730657192567653
0.25,0.25,16,4,4.045782392452857,4.045782387210989,3.9702121644686406
0.25,0.25,24,4,0.826384741968934,0.8263847419621141,0.8263847419774255
0.25,0.2,48,4,1.098438933504994e14,9.007199254740988e14,0.6393185026363778
0.25,0.31,48,4,1.323087211412894,1.3230872111091005,1.3230872049061282
0.25,0.325,48,4,1.5829591146283852,1.5829591144582513,1.5829591133395142
0.25,0.32,48,4,1.480081591766205,1.4800815917437542,1.4800816016338907
0.25,0.335,48,4,19135.707415481105,18178.056922757343,1.8705171962526859
0.25,0.33,48,4,1.4765313435682301,1.4765313436007124,1.4765313451232527
0.25,0.34,48,4,1.1718575239904248,1.1718575222165875,1.1718574705420475
0.25,0.35,48,4,0.980175949417466,0.980175949370639,0.9801758535070927
0.25,0.37,48,4,1.5802103955685903e14,2.573485501354564e14,2.1243394468728254e13
0.25,0.39,48,4,4.503599627370496e15,3.752999689475408e14,0.6820480009910745
0.25,0.3,48,4,1.194960456320181,1.1949604557493136,1.1949600882905853
0.25,0.45,16,4,0.48965595275571994,0.4896559527557486,0.4896559477915537
0.25,0.45,24,4,0.5149369693483222,0.5149369693862808,0.5149369698805224
0.265,0.2,16,4,0.6264037707598706,0.6264037707598697,0.6264037707806797
0.265,0.2,24,4,0.6368232932970201,0.636823293279485,0.6368232932988358
0.265,0.2,36,4,0.6380152112919326,0.6380152111519387,0.6380152597879707
0.26,0.0,16,4,1185.7853923181967,2.7020085193207495e7,0.40026498552163464
0.26,0.0,24,4,0.4228571348459508,0.422857134845089,0.42285920062815885
0.26,0.0,36,4,1949.150732285565,1.7133725042302383e12,0.44811077302540714
0.26,0.1,16,4,0.41464768867788143,0.41464768867782037,0.4146476891365921
0.26,0.1,16,6,0.652754275444213,0.6527542754442084,0.6527542754260537
0.26,0.26,16,4,0.877229015570273,0.8772290155702733,0.8772290155125243
0.26,0.26,24,4,0.8761132316220034,0.8761132316217929,0.8761132316259204
