 Count  Overhead File                    Line Function
     3         0 …s/ctmrg/sequential.jl   132 renormalize_sequentially
     3         0 …ctmrg_contractions.jl  1013 renormalize_bottom_corner
     3         0 …ctmrg_contractions.jl     ? renormalize_bottom_corner
     3         3 …eRules/src/adjoint.jl    69 _pullback
     3         0 …s/ctmrg/sequential.jl   135 renormalize_sequentially
     3         0 …ctmrg_contractions.jl  1053 renormalize_top_corner
     3         0 …cessors/src/optics.jl   393 set
     3         0 …c/ConstructionBase.jl   136 setproperties
     3         0 …c/ConstructionBase.jl   208 setproperties_object
     3         0 …c/ConstructionBase.jl   195 setfields_object
     3         0 @Zygote/src/lib/lib.jl   239 _pullback
     3         0 …ractinterpretation.jl   660 abstract_call_method(interp::Core…
     3         0 …compiler/typeinfer.jl   923 typeinf_edge(interp::Core.Compile…
     4         1 …s/ctmrg/projectors.jl   159 compute_projector
     4         4 none                       ? adjoint
     4         0 @Zygote/src/lib/lib.jl   257 _pullback
     4         0 …ompiler/interface2.jl    78 _pullback_generator(world::UInt64…
     4         2 @Base/boot.jl            710 (::Core.GeneratedFunctionStub)(wo…
     4         0 …ided/src/mapreduce.jl   176 _mapreduce_block!(f::TensorOperat…
     4         0 …ided/src/mapreduce.jl   229 _mapreduce_kernel!(f::TensorOpera…
     4         0 …compiler/typeinfer.jl   249 _typeinf(interp::Core.Compiler.Na…
     4         0 …compiler/typeinfer.jl   265 finish_nocycle(::Core.Compiler.Na…
     4         0 …/compiler/optimize.jl   983 optimize(interp::Core.Compiler.Na…
     4         0 …/compiler/optimize.jl  1009 run_passes_ipo_safe
     4         0 …/compiler/optimize.jl   994 run_passes_ipo_safe(ci::Core.Code…
     4         0 …ractinterpretation.jl   102 abstract_call_gf_by_type(interp::…
     5         0 @Base/simdloop.jl         77 macro expansion
     5         0 @Base/partr.jl           189 multiq_check_empty()
     5         0 @Base/range.jl           908 iterate
     5         0 …ors/factorizations.jl   583 _create_svdtensors(t::TensorMap{C…
     5         0 …compiler/typeinfer.jl   244 _typeinf(interp::Core.Compiler.Na…
     5         0 …ractinterpretation.jl  3413 typeinf_nocycle(interp::Core.Comp…
     5         0 …ractinterpretation.jl  3331 typeinf_local(interp::Core.Compil…
     5         0 …ractinterpretation.jl  3068 abstract_eval_basic_statement(int…
     5         0 …ractinterpretation.jl  2752 abstract_eval_statement(interp::C…
     5         0 …ractinterpretation.jl  2454 abstract_eval_statement_expr(inte…
     5         0 …ractinterpretation.jl  2438 abstract_eval_call(interp::Core.C…
     5         0 …ractinterpretation.jl  2423 abstract_call(interp::Core.Compil…
     5         0 …ractinterpretation.jl  2275 abstract_call(interp::Core.Compil…
     5         0 …ractinterpretation.jl  2282 abstract_call(interp::Core.Compil…
     5         0 …ractinterpretation.jl  2200 abstract_call_known(interp::Core.…
     6         0 …s/tensoroperations.jl   330 _contract!(α::One, A::TensorMap{C…
     6         0 …ors/factorizations.jl   550 _tsvd!(t::TensorMap{ComplexF64, G…
     6         0 @Base/abstractarray.jl   922 copy!(dst::Base.ReshapedArray{Com…
     6         3 @Base/Base.jl             49 getproperty
     6         0 …compiler/typeinfer.jl  1135 typeinf_ext_toplevel(mi::Core.Met…
     6         0 …compiler/typeinfer.jl  1139 typeinf_ext_toplevel(interp::Core…
     6         0 …compiler/typeinfer.jl  1101 typeinf_ext(interp::Core.Compiler…
     6         0 …compiler/typeinfer.jl   215 typeinf(interp::Core.Compiler.Nat…
     7         0 …s/tensoroperations.jl   107 tensorcontract!(C::TensorMap{Comp…
     7         7 @Base/promotion.jl       639 ==
     7         0 @Base/abstractarray.jl  1061 copyto!
     7         0 …ctmrg_contractions.jl   246 contract_projectors
     7         7 @Base/essentials.jl      917 getindex
     7         0 …lection/reflection.jl    60 meta(T::Any; types::Any, world::A…
     7         0 …indexmanipulations.jl   397 add_permute!
     7         0 …indexmanipulations.jl   461 add_transform!(::TensorMap{Comple…
     7         0 …indexmanipulations.jl   495 add_transform_kernel!(::TensorMap…
     7         0 …ions/src/interface.jl    27 tensoradd!
     7         0 …ions/src/interface.jl    33 tensoradd!
     7         0 …ions/src/interface.jl    42 tensoradd!
     7         0 …ementation/strided.jl    50 tensoradd!(C::StridedViews.Stride…
     7         0 …ementation/strided.jl   113 stridedtensoradd!(C::StridedViews…
     7         0 …ided/src/mapreduce.jl    93 _mapreducedim!(f::TensorOperation…
     7         0 …ided/src/mapreduce.jl   116 _mapreduce_fuse!(f::TensorOperati…
     7         0 …ided/src/mapreduce.jl   138 _mapreduce_order!(f::TensorOperat…
     7         0 @Base/partr.jl           143 multiq_deletemin()
     8         0 …entation/functions.jl   231 tensorcontract
     8         0 …s/tensoroperations.jl   327 _contract!(α::One, A::TensorMap{C…
     8         0 …Algebra/src/matmul.jl   381 generic_matmatmul!
     8         0 …rithms/ctmrg/ctmrg.jl   166 calc_convergence(env::CTMRGEnv{Te…
     8         0 …rithms/ctmrg/ctmrg.jl   166 #371
     8         0 @Base/partr.jl           141 multiq_deletemin()
     8         0 @Base/abstractarray.jl  1315 getindex
     8         8 @Base/reflection.jl     1182 _methods_by_ftype(t::Any, mt::Not…
     8         0 …ctmrg_contractions.jl   247 contract_projectors
    10         0 …s/ctmrg/projectors.jl   147 compute_projector
    10         0 …ctmrg_contractions.jl   291 half_infinite_environment
    10         0 …entation/functions.jl   229 tensorcontract
    13        13 @Base/task.jl            990 trypoptask(W::Base.IntrusiveLinke…
    14         0 @Base/array.jl           821 _collect(c::Array{TensorMap{Compl…
    14         0 @Base/array.jl           827 collect_to_with_first!
    14         0 @Base/array.jl           849 collect_to!(dest::Array{DiagonalT…
    15         0 @Base/operators.jl       596 *
    15         0 …ulesCoreExt/linalg.jl    16 rrule
    16         0 …src/tensors/linalg.jl    40 compose
    16         0 …src/tensors/linalg.jl    27 compose_dest
    16         0 …s/ctmrg/projectors.jl   160 compute_projector
    17         0 …ompiler/interface2.jl    81 _pullback
    17         0 @Base/partr.jl           140 multiq_deletemin()
    19         0 …s/tensoroperations.jl   286 contract!(C::TensorMap{ComplexF64…
    20         0 …s/ctmrg/sequential.jl    92 sequential_projectors
    20         0 …parse_environments.jl    70 TensorMap
    20         0 …ctmrg_contractions.jl   153 enlarge_southwest_corner
