hx,hz,chi,D,E,infinite_tHooft,infinite_Wilson,infinite_Wilson_odd,FMstring,PKstring_odd
0.25,0.33,48,4,-2.0949991295461263,0.19152555789806383 + 2.0735347374547116e-11im,0.9906213762491644 - 1.0957452667103263e-15im,NaN + NaN*im,0.5452884830080361,0.0023567640104832335
0.25,0.34,48,4,-2.1006257423963017,0.18247362579142076 + 1.7468683445445857e-11im,0.9909477749546096 + 1.4866968095218137e-15im,NaN + NaN*im,0.5971561709811742,0.003225222110693769
0.25,0.35,48,4,-2.107445591034997,0.1751263177834542 + 6.928532947016413e-13im,0.9912146504584316 - 1.6660102182547125e-15im,NaN + NaN*im,0.6409304367038742,0.013625314900058656
0.25,0.37,48,4,-2.1194812699399557,0.16191727888091792 - 4.824935567473814e-16im,0.9914729735876625 + 4.939128516480634e-15im,NaN + NaN*im,0.7626523859180266,0.007858075692678495
0.25,0.39,48,4,-2.143367027149073,0.15471910036916325 - 9.715570298135566e-12im,0.9920378300844827 - 3.4960097369279543e-16im,NaN + NaN*im,0.7539773551896833,0.011205056890436726
0.25,0.3,48,4,-2.0825860944484784,0.19802196480120496 - 7.49882741159003e-12im,-0.9903590864645442 + 1.762664878395446e-16im,NaN + NaN*im,0.5186363089730714,0.014524937914474283
0.25,0.45,16,4,-2.214247982184297,0.13671406894888755 - 1.5569595976332128e-16im,0.9928988382820799 + 5.144919039929329e-16im,NaN + NaN*im,0.8439904979239339,0.010207785261604112
0.25,0.45,24,4,-2.2142720768314486,0.1367725926175416 - 9.381640421094017e-14im,0.9928982540077002 - 6.931553366746208e-17im,NaN + NaN*im,0.843254372771299,0.005903518440139487
0.265,0.2,16,4,-2.0581724168006423,0.21983305624486707 + 1.2258906706025656e-15im,-0.9884682388576532 + 6.014051203162323e-17im,NaN + NaN*im,0.5814458419162084,0.020468307972970733
0.265,0.2,24,4,-2.058172872864576,0.22441244749971057 - 4.1337735621471046e-12im,-0.9884580043838999 + 6.767599200159597e-16im,NaN + NaN*im,0.5049813222014953,0.008255325854342814
0.265,0.2,36,4,-2.058169892456923,0.22429114535334 - 4.293129530814426e-11im,0.9884694086449521 - 1.2376850143488069e-15im,NaN + NaN*im,0.5048630671067408,0.00904320477424277
0.26,0.0,16,4,-2.0364058625314847,0.2972968984119904 + 1.1374907448196968e-16im,-0.9881166778332482 + 3.963374024072208e-16im,NaN + NaN*im,0.5685003092487451,0.019115281740601408
0.26,0.0,24,4,-2.036410005512665,0.3233000219589423 - 2.55268259735922e-13im,0.9881120065212345 + 2.7227591866134175e-16im,NaN + NaN*im,0.45725602291934564,0.02046680769486414
0.26,0.0,36,4,-2.0364179149141943,0.3348508121577809 - 6.814373383499049e-14im,-0.9880678854702462 - 9.200572603496649e-16im,NaN + NaN*im,0.44667204108057534,0.013707889862292573
