hx,hz,chi,D,E,ξv,ξh,infinite_tHooft,infinite_Wilson
0.33,0.32,36,4,-2.1175272028364054,1.3987094375143472,1.3987094375007973,0.3196461123688153 - 1.5376167522431264e-13im,0.9791014967132051 + 5.760692252330937e-17im
0.33,0.32,48,4,-2.1175265143097337,1.3931181277425557,1.3931181277505271,0.32234478183693627 - 8.90007798216874e-13im,-0.9791021280462061 - 2.9561059292454125e-16im
0.33,0.335,48,4,-2.1106535285250154,5.538583548680471,5.538583544247584,0.9832229251213426 + 1.69271340339671e-15im,0.8718736521811201 + 8.85011081043627e-17im
0.33,0.33,48,4,-2.121786304709275,1.598031666398494,1.5980316664415222,0.31703580629705624 - 4.485116055263597e-13im,-0.9792887202916506 - 0.0im
0.33,0.34,36,4,-2.1120503879681936,5.249919154264251,5.249919156634885,0.9826136678036642 + 1.4845001151832965e-15im,0.8692217604901005 - 2.372226677277841e-15im
0.33,0.34,48,4,-2.112054279159388,5.4680815881277764,5.46808159163829,0.9826922360050392 - 9.171094051797147e-16im,0.870630788556889 + 3.121305066600453e-16im
0.33,0.36,48,4,-2.13702300788606,2.9176602334189488,2.917660233472093,0.745813692395159 - 1.6246898214286456e-16im,0.9815352367294308 + 1.1974683490984862e-15im
0.33,0.3,36,4,-2.1097510368027717,1.1473310210566903,1.1473310210400298,0.3239998851787973 + 4.573690270009398e-13im,0.9788016560544648 + 2.3805790994449743e-15im
0.33,0.3,48,4,-2.109751870340606,1.1513098178623722,1.151309817838949,0.32718559733369146 + 4.6059532171584635e-11im,0.9787990142824131 - 5.33867675877323e-16im
0.33,1.0,36,4,-3.163751126852666,2.2517998136852475e15,2.2517998136852475e15,0.12173431642350255 - 4.165979226933156e-15im,0.9930278830906533 + 2.6978752781484725e-16im
0.34,0.1,36,4,-2.070378072846952,0.4827223492904303,0.48272234931340857,0.36596818111838375 + 1.4995575456539347e-11im,-0.9752832456393967 - 3.8413130801841286e-16im
0.34,0.2,36,4,-2.08575580720329,0.632959804017865,0.6329598040127978,0.3609652991984191 - 9.858883761112598e-13im,0.9756419580804068 + 3.3848187033302487e-16im
0.34,0.32,36,4,-2.12169978538949,1.395426115327639,1.395426115345937,0.3400701212887296 - 2.435034219517942e-14im,0.9769102659096927 + 4.876676852461337e-16im
0.34,0.33,36,4,-2.125944938407342,1.572366265592684,1.5723662655494224,0.3371586469319071 - 1.2965955767751037e-13im,0.9771278922649818 + 4.638114217231266e-16im
0.34,0.34,36,4,-2.1274832815028795,2.7058628458022373,2.705862845781265,0.9667507762064915 + 1.2323652836110364e-15im,-0.7910800828635651 + 4.864212364939025e-16im
