file,hx,hz,chi,D,E,ξv,ξh,infinite_tHooft,infinite_Wilson
final_Psi_trivial_1e4_hx=0.5_hz=0.34_χ=36_D=4,0.5,0.34,36,4,-2.301761539568662,2.242314491109396,2.242314491193552,0.9840532380703275 + 2.1038988167750182e-15im,-0.6256490435895437 + 2.4922967925863796e-16im
final_Psi_trivial_1e4_hx=0.5_hz=0.3_χ=36_D=4,0.5,0.3,36,4,-2.2920722680085404,1.8298999557144815,1.829899955631242,0.9910057008973233 - 1.5885434204206196e-15im,0.6281650302655637 - 7.125605086378171e-16im
final_Psi_trivial_1e4_hx=0.5_hz=0.5_χ=36_D=4,0.5,0.5,36,4,-2.384945376543682,1.7461521752083318,1.7461521748446291,0.748067066743502 - 1.8476299787516552e-15im,0.8964479660723621 - 2.0533174997989612e-15im
final_Psi_trivial_1e4_hx=0.5_hz=1.0_χ=36_D=4,0.5,1.0,36,4,-3.215449481917501,6.004799503160656e14,1.000799917193443e15,0.20799325036123992 + 1.0068439887916091e-14im,0.9820420219413827 - 2.1364725921469953e-16im
final_Psi_trivial_1e4_hx=1.0_hz=0.1_χ=36_D=4,1.0,0.1,36,4,-3.129043260130267,0.7183067266633442,0.7183067266635931,0.9994066596119044 - 6.109503226603134e-16im,-0.36084405354996707 + 3.157499279259312e-17im
final_Psi_trivial_1e4_hx=1.0_hz=0.2_χ=36_D=4,1.0,0.2,36,4,-3.1393519887673156,0.7866216659977442,0.7866216659970647,0.9975762507006775 - 6.463233999925461e-16im,0.3331220070516243 + 3.1321159312484023e-16im
final_Psi_trivial_1e4_hx=1.0_hz=0.32_χ=36_D=4,1.0,0.32,36,4,-3.1612679073365535,0.8638322020369852,0.8638322020510045,0.9934612191622052 - 1.4806568214120207e-16im,0.35155698944241465 + 4.589978581615281e-16im
final_Psi_trivial_1e4_hx=1.0_hz=0.33_χ=36_D=4,1.0,0.33,36,4,-3.1635903188818126,0.8653280379081995,0.8653280379101351,0.992988837852528 + 1.0907653121349328e-15im,0.3558121212928575 - 1.7598873403839663e-16im
final_Psi_trivial_1e4_hx=1.0_hz=0.34_χ=36_D=4,1.0,0.34,36,4,-3.1659751395395794,0.8645363156558373,0.864536315651858,0.9925381745668813 + 2.012627316764085e-16im,0.3632826176569713 + 1.6608467435361095e-16im
final_Psi_trivial_1e4_hx=1.0_hz=0.3_χ=36_D=4,1.0,0.3,36,4,-3.1568635027077043,0.8726162365365012,0.8726162365392826,0.9943133915445039 + 2.4799991576671985e-15im,0.3517517777557718 + 2.1825639470578612e-16im
final_Psi_trivial_1e4_hx=1.0_hz=0.5_χ=36_D=4,1.0,0.5,36,4,-3.2154090325240823,0.9122733869281228,0.9122733869305518,0.9817458710097354 - 3.289802958783453e-16im,0.3785008597455766 - 1.3751712034276922e-16im
final_Psi_trivial_1e4_hx=1.0_hz=1.0_χ=36_D=4,1.0,1.0,36,4,-3.5818592431598133,0.6653107184573657,0.6653107184468733,0.7634510276691906 + 1.7456745663849695e-16im,0.7660192195065127 + 6.618850688186215e-17im
